nom,iata,icao
Kuusamo Airport,KAO,EFKS
Augusto C. Sandino International Airport,MGA,MNMG
Daniel K. Inouye International Airport
Gaya Airport,GAY,VEGY
Heringsdorf Airport
Qamdo Bamda Airport,BPX,ZUBD
José María Córdova International Airport,MDE,SKRG
Pérez Zeledón Airport,,MRSI
Huesca-Pirineos Airport
Milwaukee Mitchell International Airport,MKE,KMKE
Florianópolis International Airport,FLN,SBFL
Blytheville Municipal Airport
Birdsville Airport,BVI,YBDV
Bocanda Airport,,DIBC
Bocaranga Airport,,FEGC
Bloomfield Municipal Airport,,
Capital Region International Airport,LAN,KLAN
Orlando Sanford International Airport,SFB,KSFB
Blackwell Field,,K71J
Charlotte/Douglas International Airport,CLT,KCLT
Phu Cat Airport,UIH,VVPC
Suvarnabhumi Airport,BKK,VTBS
Locarno Airport,ZJI,LSZL
Beira Airport,BEW,FQBR
Viracopos International Airport,VCP,SBKP
Francisco Sarabia International Airport,TRC,MMTC
Matecaña International Airport,PEI,SKPE
Coimbra Airport,CBP,LPCO
Riga International Airport,RIX,EVRA
Coimbatore Airport,CJB,VOCB
Haast Aerodrome,,NZHT
Lampedusa Airport,LMP,LICD
Bicester Airfield,,EGDD
Bidar Airport,,VOBR
Bhuj Airport,BHJ,VABJ
Bhuntar Airport,KUU,VIBR
Big River Airport,,
Big Hook Wilderness Camp Water Aerodrome,,
Béziers Cap d'Agde Airport,BZR,LFMU
Beringin Airport,GXA,WAOM
Bertoua Airport,BTA,FKKO
Betoambari Airport,BUW,WAWB
Bhojpur Airport,BHP,VNBJ
Buluh Tumbang Airport,TJQ,WIOD
Tokachi-Obihiro Airport,OBO,RJCB
Palanga International Airport,PLQ,EYPA
Reus Airport,REU,LERS
Cheddi Jagan International Airport,GEO,SYCJ
Yangon International Airport,RGN,VYYY
Syracuse Hancock International Airport,SYR,KSYR
Andahuaylas Airport,ANS,SPHY
"Ålesund Airport, Vigra",AES,ENAL
Yamagata Airport,GAJ,RJSC
Capitán Oriel Lea Plaza Airport,TJA,SLTJ
Graciosa Airport,GRW,LPGR
Xiamen Gaoqi International Airport,XMN,ZSAM
Fukushima Airport,FKS,RJSF
Kotoka International Airport,ACC,DGAA
Guiuan Airport,,RPVG
Cheboksary Airport,CSY,UWKS
Lunéville-Croismare Airport,,LFQC
Dortmund Airport,DTM,EDLW
LaGuardia Airport,LGA,KLGA
