id,nom,iata,icao
m370,Cabo Rojo (Cabo Rojo) (CBJ),CBJ,MDCR
m371,Plaisance Sir Seewoosagur Ramgoolam International,MRU,FIMP
m372,Buttonville Municipal (Toronto) (YKZ),YKZ,CYKZ
m373,San Jose Airport (SJC), SJC,KSJC
m374,Beltsy (Beltsy) (BZY),BZY,LUBL
m375,Delhi Indira Gandhi International,DEL,VIDP
m376,Athens International Airport,ATH,LGAV
m377,Shark Elowainat (Shark Elowainat) (GSQ),GSQ,HEOW
m378,Lawas airport,LWY,WBGW
m379,Makale airport,MQX,HAMK
m380,Paama (Paama) (PBJ),PBJ,NVSI
m381,Cormeille En Vexin flygplats,POX,LFPT
m382,Flughafen Berlin-Tegel,TXL,EDDT
m383,Abel Santa Maria (Santa Clara) (SNU),SNU,MUSC
m384,Barisal (Barisal) (BZL),BZL,VGBR
m385,Aeropuerto de Alicante - Elche,ALC,LEAL
m386,Agno airport,LUG,LSZA
m387,Gwa (Gwa) (GWA),GWA,VYGW
m388,Carmelita (Carmelita) (CMM),CMM,MGCR
m389,Nnamdi Azikiwe International Airport (Abuja) (ABV),ABV,DNAA
m390,Puerto Suarez (Puerto Suarez) (PSZ),PSZ,SLPS
m391,Hidroeletrica (Itumbiara) (ITR),ITR,KITR
m392,Jakarta Soekarno-Hatta International,CGK,WIII
m393,Kariba (Kariba) (KAB),KAB,FVKB
m394,Savannakhet (Savannakhet) (ZVK),ZVK,VLSK
m395,Francistown flygplats (FRW), FRW,FBFT
m396,Cabinda flygplats,CAB,FNCA
m397,Keflavik (Reykjavik) (RKV),RKV,BIRK
m398,Beaver Ruin (Atlanta) (JAO),JAO,KJAO
m399,Phuket International (Phuket) (HKT),HKT,VTSP
m400,Great Harbour (Great Harbour) (GHC),GHC,MYBG
m401,Flughafen Humberside (HUY), HUY,EGNJ
m402,Kota Koli (Kota Koli) (KLI),KLI,FZFP
m403,Ilorin (Ilorin) (ILR),ILR,DNIL
m404,Binaka (Gunungsitoli) (GNS),GNS,WIMB
m405,Sao Filipe (Sao Filipe) (SFL),SFL,GVSF
m406,Pan Yu Ferry (Pan Yu) (ZAX),ZAX,FVZK
m407,Matacan (Salamanca) (SLM),SLM,LESA
m408,Kaukura Atoll (Kaukura Atoll) (KKR),KKR,NTGK
m409,Tanna (Tanna) (TAH),TAH,NVVW
m410,Mare (Mare) (MEE),MEE,NWWR
m411,INGLEWOOD,,YILW
m412,Badajoz Aeropuerto (BJZ), BJZ,LEBZ
m413,Lublin Luchthaven (LUZ), LUZ,EPLB
m414,Mazury (Szymany) (SZY),SZY,EPSY
m415,Suvarnabhumi International (Bangkok) (BKK),BKK,VTBS
m416,Del Caribe International (Gen. Santiago Marino) (Porlamar) (PMV),PMV,SVMG
m417,Aeroporto de Brownsville (BRO), BRO,KBRO
m418,Dongola (Dongola) (DOG),DOG,HSDN
m419,Patras lufthavn (GPA), GPA,LGRX
m420,Dnepropetrovsk (Dnepropetrovsk) (DNK),DNK,UKDD
m421,Capitan Vicente Almando (La Rioja) (IRJ),IRJ,SANL
m422,Kenema (Kenema) (KEN),KEN,GFKE
m423,Agades (Agades) (AJY),AJY,DRZA
m424,Limpopo Valley (Tuli Block) (TLD),TLD,FBTL
m425,Tenerife Aeropuerto Norte (TFN), TFN,GCXO
m426,Kadena AB (Okinawa) (DNA),DNA,RODN
m427,Mingaladon (Yangon) (RGN),RGN,VYYY
m428,Cape Town International (Cape Town) (CPT),CPT,FACT
m429,Makabana (Makabana) (KMK),KMK,FCPA
m430,Northeast Florida Regional Airport,UST,KSGJ
m431,Heliport (Akunnaaq) (QCU),QCU,SASQ
m432,Aneityum (Aneityum) (AUY),AUY,NVVA
m433,International (Bujumbura) (BJM),BJM,HBBA
m434,Edimburgo Aeropuerto,EDI,EGPH
m435,Sambailo (Koundara) (SBI),SBI,GUSB
m436,Yaounde Airport (Yaounde) (YAO),YAO,FKKY
m437,Donostia - San Sebastian (San Sebastian) (EAS),EAS,LESO
m438,Corfu Ioannis Kapodistrias,CFU,LGKR
m439,Melville Hall (Dominica) (DOM),DOM,TDPD
m440,Anthony Lagoon (Anthony Lagoon) (AYL),AYL,YANL
m441,Sais (Fez) (FEZ),FEZ,GMFF
m442,Oscar Reguera (Chos Malal) (HOS),HOS,SAHC
m443,San Ignacio De M (San Ignacio De M) (SNM),SNM,SLSM
m444,Es Senia (Oran) (ORN),ORN,DAOO
m445,Dabo (Dabo) (DAO),DAO,ZJYX
m446,Ada (Ada) (ADT),ADT,KADH
m447,Inverness,INV,EGPE
m448,Alahsa (Alahsa) (HOF),HOF,OEAH
m449,Singapore Changi,(SIN),WSSS
m450,Astana (Astana) (TSE),TSE,UACC
m451,Stung Treng (Stung Treng) (TNX),TNX,VDST
m452,Labe (Labe) (LEK),LEK,GULB
m453,Yoro (Yoro) (ORO),ORO,MHYR
